,Industry,Year,Metric,Attribute,Value,Scenario
2248,Mining,2085,3-PropietorsIncome,Direct,0,Large Higher Receipt
2249,Mining,2085,3-PropietorsIncome,Indirect,806.566,Large Higher Receipt
2250,Mining,2085,3-PropietorsIncome,Induced,6907.148,Large Higher Receipt
2251,Mining,2085,3-PropietorsIncome,Total,7713.716,Large Higher Receipt
2252,Mining,2085,4-LaborIncome,Direct,0,Large Higher Receipt
2253,Mining,2085,4-LaborIncome,Indirect,51233.704,Large Higher Receipt
2254,Mining,2085,4-LaborIncome,Induced,23554.118,Large Higher Receipt
2255,Mining,2085,4-LaborIncome,Total,74787.828,Large Higher Receipt
2256,Mining,2085,5-OtherPropertyTypeIncome,Direct,0,Large Higher Receipt
2257,Mining,2085,5-OtherPropertyTypeIncome,Indirect,111567.316,Large Higher Receipt
2258,Mining,2085,5-OtherPropertyTypeIncome,Induced,18078.522,Large Higher Receipt
2259,Mining,2085,5-OtherPropertyTypeIncome,Total,129645.84,Large Higher Receipt
2260,Mining,2085,6-IndirectBusinessTaxes,Direct,0,Large Higher Receipt
2261,Mining,2085,6-IndirectBusinessTaxes,Indirect,14564.444,Large Higher Receipt
2262,Mining,2085,6-IndirectBusinessTaxes,Induced,6036.156,Large Higher Receipt
2263,Mining,2085,6-IndirectBusinessTaxes,Total,20600.602,Large Higher Receipt
2264,Mining,2085,7-TotalValueAdded,Direct,0,Large Higher Receipt
2265,Mining,2085,7-TotalValueAdded,Indirect,177365.466,Large Higher Receipt
2266,Mining,2085,7-TotalValueAdded,Induced,47668.804,Large Higher Receipt
2267,Mining,2085,7-TotalValueAdded,Total,225034.264,Large Higher Receipt
2268,Mining,2085,8-Output,Direct,0,Large Higher Receipt
2269,Mining,2085,8-Output,Indirect,372048.936,Large Higher Receipt
2270,Mining,2085,8-Output,Induced,118860.332,Large Higher Receipt
2271,Mining,2085,8-Output,Total,490909.268,Large Higher Receipt
2272,Mining,2090,1-Employment,Direct,0,Large Higher Receipt
2273,Mining,2090,1-Employment,Indirect,0.8,Large Higher Receipt
2274,Mining,2090,1-Employment,Induced,0.294,Large Higher Receipt
2275,Mining,2090,1-Employment,Total,1.092,Large Higher Receipt
2276,Mining,2090,2-EmployeeCompensation,Direct,0,Large Higher Receipt
2277,Mining,2090,2-EmployeeCompensation,Indirect,42987.828,Large Higher Receipt
2278,Mining,2090,2-EmployeeCompensation,Induced,15369.19,Large Higher Receipt
2279,Mining,2090,2-EmployeeCompensation,Total,58357.018,Large Higher Receipt
2280,Mining,2090,3-PropietorsIncome,Direct,0,Large Higher Receipt
2281,Mining,2090,3-PropietorsIncome,Indirect,920.408,Large Higher Receipt
2282,Mining,2090,3-PropietorsIncome,Induced,6297.112,Large Higher Receipt
2283,Mining,2090,3-PropietorsIncome,Total,7217.528,Large Higher Receipt
2284,Mining,2090,4-LaborIncome,Direct,0,Large Higher Receipt
2285,Mining,2090,4-LaborIncome,Indirect,43908.232,Large Higher Receipt
2286,Mining,2090,4-LaborIncome,Induced,21666.302,Large Higher Receipt
2287,Mining,2090,4-LaborIncome,Total,65574.542,Large Higher Receipt
2288,Mining,2090,5-OtherPropertyTypeIncome,Direct,0,Large Higher Receipt
2289,Mining,2090,5-OtherPropertyTypeIncome,Indirect,95343.106,Large Higher Receipt
2290,Mining,2090,5-OtherPropertyTypeIncome,Induced,16765.084,Large Higher Receipt
2291,Mining,2090,5-OtherPropertyTypeIncome,Total,112108.188,Large Higher Receipt
2292,Mining,2090,6-IndirectBusinessTaxes,Direct,0,Large Higher Receipt
2293,Mining,2090,6-IndirectBusinessTaxes,Indirect,12535.49,Large Higher Receipt
2294,Mining,2090,6-IndirectBusinessTaxes,Induced,5616.5,Large Higher Receipt
2295,Mining,2090,6-IndirectBusinessTaxes,Total,18151.99,Large Higher Receipt
2296,Mining,2090,7-TotalValueAdded,Direct,0,Large Higher Receipt
2297,Mining,2090,7-TotalValueAdded,Indirect,151786.826,Large Higher Receipt
2298,Mining,2090,7-TotalValueAdded,Induced,44047.888,Large Higher Receipt
2299,Mining,2090,7-TotalValueAdded,Total,195834.724,Large Higher Receipt
2300,Mining,2090,8-Output,Direct,0,Large Higher Receipt
2301,Mining,2090,8-Output,Indirect,320311.136,Large Higher Receipt
2302,Mining,2090,8-Output,Induced,109504.044,Large Higher Receipt
2303,Mining,2090,8-Output,Total,429815.17,Large Higher Receipt
2304,Mining,2095,1-Employment,Direct,0,Large Higher Receipt
2305,Mining,2095,1-Employment,Indirect,0.82,Large Higher Receipt
2306,Mining,2095,1-Employment,Induced,0.298,Large Higher Receipt
2307,Mining,2095,1-Employment,Total,1.118,Large Higher Receipt
2308,Mining,2095,2-EmployeeCompensation,Direct,0,Large Higher Receipt
2309,Mining,2095,2-EmployeeCompensation,Indirect,44152.74,Large Higher Receipt
2310,Mining,2095,2-EmployeeCompensation,Induced,15564.084,Large Higher Receipt
2311,Mining,2095,2-EmployeeCompensation,Total,59716.82,Large Higher Receipt
2312,Mining,2095,3-PropietorsIncome,Direct,0,Large Higher Receipt
2313,Mining,2095,3-PropietorsIncome,Indirect,901.774,Large Higher Receipt
2314,Mining,2095,3-PropietorsIncome,Induced,6390.498,Large Higher Receipt
2315,Mining,2095,3-PropietorsIncome,Total,7292.276,Large Higher Receipt
2316,Mining,2095,4-LaborIncome,Direct,0,Large Higher Receipt
2317,Mining,2095,4-LaborIncome,Indirect,45054.514,Large Higher Receipt
2318,Mining,2095,4-LaborIncome,Induced,21954.582,Large Higher Receipt
2319,Mining,2095,4-LaborIncome,Total,67009.098,Large Higher Receipt
2320,Mining,2095,5-OtherPropertyTypeIncome,Direct,0,Large Higher Receipt
